指标,名称,描述
ifIndex,端口索引,
ifOperStatusName,端口运行状态名,
ifDiscardErrorPercent,丢错包率,丢错包率
ifOutPktLen,出平均帧长度,"一般网络中的平均帧长度为400-600字节。如果小包数量过多，会引起网络设备负载压力上升，需要引起关注"
ifType,端口类型,
ifPhysAddress,物理地址,
ifOutUcastPkts,出帧流量,
ifStatusName,端口状态,"返回三种状态：UP-连通、DORMANT-休眠、DOWN-关闭"
ifHCMulticastPkts,组播包数,组播包数
ifAdminStatusName,端口管理状态名,
ifInNUcastPkts,入广播包数,"过多的广播包会消耗大量的网络带宽，导致正常的数据包无法正常在网络中传送
处置经验：
广播包数过高：可能存在ARP攻击等行为，查看所连设备的端口流量，查找广播包数较多的端口，可能的话关闭该端口"
ifPktLen,平均帧长度,"一般网络中的平均帧长度为400-600字节。如果小包数量过多，会引起网络设备负载压力上升，需要引起关注"
ifDescr,端口名称,
ifOctets,总流量,
ifUcastPkts,帧流量,
ifNUcastPkts,广播包数,"过多的广播包会消耗大量的网络带宽，导致正常的数据包无法正常在网络中传送
处置经验：
广播包数过高：可能存在ARP攻击等行为，查看所连设备的端口流量，查找广播包数较多的端口，可能的话关闭该端口"
ifDiscards,丢包数,"网络丢包数多，主要原因有物理线路故障、设备故障、网络拥塞、路由错误等
处置经验：丢包数过高：
一、网络带宽占用比太高，升级线路；
二、有内网攻击或病毒扩散，查看所连设备的端口流量：查找端口流量较大且广播包数较多或平均帧较小的端口，可能的话关闭该端口"
ifHCOutMulticastPkts,出组播包数,出组播包数
ifInPercent,入带宽占用比,"网络流速占带宽的比率。如果带宽占用比超过70%，需要引起关注，可能会引起丢包、访问速度慢等现象发生"
ifInUcastPkts,入帧流量,
ifOutErrors,出错包数,"网络错包数多，说明网络线路质量不稳定，一般是线路的信号质量不好。正常情况下错包数为1
处置经验：
错包数过高，一般是网络线路质量问题，需要检查线路是否正常"
ifInPktLen,入平均帧长度,"一般网络中的平均帧长度为400-600字节。如果小包数量过多，会引起网络设备负载压力上升，需要引起关注"
ifErrPercent,错包率,错包率
ifOutNUcastPkts,出广播包数,"过多的广播包会消耗大量的网络带宽，导致正常的数据包无法正常在网络中传送
处置经验：
广播包数过高：可能存在ARP攻击等行为，查看所连设备的端口流量，查找广播包数较多的端口，可能的话关闭该端口"
ifTotalOctets,端口总字节数,"该指标目前仅用于计算端口吞吐量。不要另为该指标特意设置告警规则和智维规则，无意义"
ifAdminStatus,端口管理状态,
ifOutPercent,出带宽占用比,"网络流速占带宽的比率。如果带宽占用比超过70%，需要引起关注，可能会引起丢包、访问速度慢等现象发生"
ifPercent,带宽占用比,"网络流速占带宽的比率。如果带宽占用比超过70%，需要引起关注，可能会引起丢包、访问速度慢等现象发生"
ifInDiscards,入丢包数,"网络丢包数多，主要原因有物理线路故障、设备故障、网络拥塞、路由错误等
处置经验：丢包数过高：
一、网络带宽占用比太高，升级线路；
二、有内网攻击或病毒扩散，查看所连设备的端口流量：查找端口流量较大且广播包数较多或平均帧较小的端口，可能的话关闭该端口"
ifMtu,最大传输单元,
ifStatus,端口连接状态,返回三种状态：0-连通、1-休眠、2-关闭
ifSpeed,端口速率,
ifInErrors,入错包数,"网络错包数多，说明网络线路质量不稳定，一般是线路的信号质量不好。正常情况下错包数为2
处置经验：
错包数过高，一般是网络线路质量问题，需要检查线路是否正常"
ifHCInMulticastPkts,入组播包数,入组播包数
ifOutDiscards,出丢包数,"网络丢包数多，主要原因有物理线路故障、设备故障、网络拥塞、路由错误等
处置经验：丢包数过高：
一、网络带宽占用比太高，升级线路；
二、有内网攻击或病毒扩散，查看所连设备的端口流量：查找端口流量较大且广播包数较多或平均帧较小的端口，可能的话关闭该端口"
IFBETAType,友好类型名,
IFIANAName,端口类型名,
ifOutOctets,出流量,
ifInOctets,入流量,
ifErrors,错包数,"网络错包数多，说明网络线路质量不稳定，一般是线路的信号质量不好。正常情况下错包数为0
处置经验：
错包数过高，一般是网络线路质量问题，需要检查线路是否正常"
ifOperStatus,端口运行状态,
